* Freq(Hz), SPL(dB)
7034.642578,98.958
7085.618652,98.982
7136.963867,99.015
7188.681152,99.058
7240.773438,99.107
7293.243164,99.162
7346.092773,99.219
7399.325684,99.278
7452.944336,99.335
7506.951172,99.388
7561.350098,99.435
7616.142578,99.473
7671.332031,99.501
7726.921875,99.515
7782.914551,99.513
7839.3125,99.494
7896.119629,99.456
7953.337891,99.398
8010.971191,99.32
8069.021973,99.224
8127.493164,99.112
8186.388672,98.985
8245.710938,98.847
8305.461914,98.702
8365.647461,98.552
8426.267578,98.403
8487.328125,98.257
8548.831055,98.116
8610.779297,97.983
8673.176758,97.856
8736.026367,97.734
8799.331055,97.616
8863.094727,97.499
8927.320312,97.379
8992.010742,97.254
9057.170898,97.122
9122.802734,96.979
9188.910156,96.824
9255.49707,96.656
9322.566406,96.476
9390.121094,96.283
9458.166016,96.08
9526.704102,95.868
9595.738281,95.651
9665.273438,95.432
9735.311523,95.215
9805.857422,95.003
9876.915039,94.8
9948.487305,94.61
10020.57813,94.436
10093.19141,94.281
10166.33106,94.145
10240,94.031
10314.20313,93.938
10388.94434,93.866
10464.22656,93.815
10540.05469,93.78
10616.43262,93.76
10693.36328,93.752
10770.85254,93.753
10848.90234,93.76
10927.51758,93.773
11006.70313,93.792
11086.46191,93.818
11166.79883,93.853
11247.71875,93.899
11329.22363,93.959
11411.32031,94.034
11494.01172,94.126
11577.30176,94.237
11661.19531,94.367
11745.69727,94.52
11830.81152,94.694
11916.54297,94.889
12002.89453,95.105
12089.87305,95.338
12177.48047,95.586
12265.72363,95.845
12354.60645,96.111
12444.13281,96.381
12534.30859,96.65
12625.13672,96.913
12716.62402,97.165
12808.77344,97.402
12901.5918,97.618
12995.08203,97.809
13089.25,97.971
13184.09961,98.099
13279.63672,98.192
13375.86719,98.247
13472.79395,98.262
13570.42285,98.234
13668.75977,98.161
13767.80957,98.041
13867.57715,97.869
13968.06738,97.643
14069.28516,97.356
14171.23731,97.005
14273.92773,96.585
14377.36231,96.095
14481.54688,95.533
14586.48633,94.9
14692.18555,94.201
14798.65137,93.441
14905.88867,92.628
15013.90234,91.771
15122.7002,90.883
15232.28516,89.974
15342.66406,89.059
15453.84375,88.149
15565.8291,87.254
15678.625,86.384
15792.23926,85.541
15906.67578,84.723
16021.94238,83.924
16138.04395,83.135
16254.98633,82.345
16372.77734,81.545
16491.42188,80.725
16610.92383,79.878
16731.29492,79.003
16852.53516,78.103
16974.65625,77.183
17097.66211,76.257
17221.55859,75.339
17346.35352,74.447
17472.05273,73.6
17598.66211,72.817
17726.18945,72.12
17854.64063,71.526
17984.02148,71.052
18114.3418,70.708
18245.60547,70.492
18377.82031,70.393
18510.99414,70.386
18645.13281,70.441
18780.24219,70.522
18916.33203,70.593
19053.4082,70.621
19191.47656,70.581
19330.54688,70.457
19470.62305,70.252
19611.71484,69.985
19753.83008,69.703
19896.97461,69.464
