frequency_hz,realab_target_db_1k_aligned,qr_peq_fit_db_1k_aligned,fit_minus_target_db
3271.293255,8.858916,8.060941,-0.797975
3309.236649,8.845117,8.133711,-0.711406
3347.620145,8.82554,8.2055,-0.62004
3386.448847,8.801683,8.275846,-0.525836
3425.727919,8.772745,8.34426,-0.428485
3465.462585,8.738916,8.41023,-0.328686
3505.65813,8.700158,8.473228,-0.22693
3546.319898,8.657679,8.532714,-0.124965
3587.453298,8.610626,8.588144,-0.022483
3629.0638,8.559716,8.638977,0.079261
3671.156939,8.50608,8.684686,0.178606
3713.738311,8.45025,8.724763,0.274513
3756.81358,8.393225,8.758732,0.365507
3800.388474,8.335727,8.78616,0.450434
3844.46879,8.278228,8.806662,0.528434
3889.060388,8.219815,8.819913,0.600099
3934.1692,8.161719,8.825656,0.663937
3979.801225,8.101623,8.823706,0.722083
4025.96253,8.04182,8.813958,0.772137
4072.659256,7.981127,8.796388,0.815261
4119.897612,7.919534,8.771054,0.85152
4167.683881,7.858741,8.738094,0.879353
4216.024418,7.797048,8.697725,0.900677
4264.925652,7.735663,8.650234,0.914571
4314.394087,7.673662,8.595975,0.922313
4364.4363,7.612082,8.535359,0.923277
4415.058948,7.550792,8.468844,0.918052
4466.268764,7.489582,8.396926,0.907344
4518.072556,7.428889,8.320133,0.891244
4570.477215,7.367196,8.23901,0.871814
4623.489711,7.306503,8.154111,0.847608
4677.117093,7.24581,8.065995,0.820186
4731.366494,7.185117,7.975214,0.790097
4786.245127,7.12376,7.882307,0.758548
4841.760293,7.062731,7.787797,0.725066
4897.919373,7.002037,7.692183,0.690146
4954.729837,6.9418,7.59594,0.65414
5012.199239,6.881757,7.499513,0.617756
5070.335223,6.823608,7.403317,0.579709
5129.14552,6.766006,7.307736,0.541729
5188.637952,6.710105,7.213118,0.503014
5248.82043,6.654203,7.119783,0.46558
5309.700959,6.59834,7.028015,0.429674
5371.287635,6.544036,6.938065,0.394029
5433.588649,6.490965,6.850155,0.35919
5496.612285,6.438258,6.764473,0.326215
5560.366926,6.388405,6.681179,0.292774
5624.861051,6.339967,6.600402,0.260436
5690.103236,6.295245,6.522243,0.226998
5756.102159,6.251962,6.446774,0.194812
5822.866596,6.210435,6.374041,0.163606
5890.405428,6.170322,6.304062,0.13374
5958.727635,6.130392,6.236829,0.106437
6027.842305,6.090462,6.172308,0.081846
6097.758628,6.050533,6.110441,0.059908
6168.485904,6.010603,6.051142,0.040539
6240.033538,5.972472,5.994304,0.021832
6312.411046,5.936733,5.939791,0.003058
6385.628053,5.903189,5.887448,-0.015741
6459.694297,5.87203,5.837092,-0.034938
6534.619627,5.841683,5.788519,-0.053164
6610.414009,5.812722,5.741504,-0.071218
6687.087522,5.783973,5.695799,-0.088173
6764.650363,5.756223,5.651137,-0.105086
6843.112847,5.728474,5.607234,-0.12124
6922.48541,5.700499,5.563788,-0.13671
7002.778607,5.672346,5.520487,-0.151859
7084.003116,5.644226,5.477006,-0.16722
7166.169741,5.615476,5.433015,-0.182461
7249.289407,5.586401,5.388181,-0.19822
7333.37317,5.555218,5.342173,-0.213044
7418.432212,5.5218,5.294667,-0.227133
7504.477845,5.485707,5.245349,-0.240358
7591.521512,5.446869,5.193924,-0.252945
7679.57479,5.404493,5.140118,-0.264374
7768.649389,5.35828,5.083686,-0.274594
7858.757155,5.306992,5.024414,-0.282578
7949.910072,5.249866,4.962123,-0.287743
8042.120262,5.186621,4.896678,-0.289943
8135.399989,5.117462,4.827983,-0.289479
8229.761657,5.041797,4.755991,-0.285806
8325.217817,4.960218,4.680695,-0.279523
8421.781163,4.873714,4.602139,-0.271575
8519.464538,4.780776,4.520406,-0.260369
8618.280931,4.684059,4.435623,-0.248436
8718.243486,4.582001,4.347953,-0.234048
8819.365497,4.475239,4.257591,-0.217648
8921.660411,4.364806,4.164759,-0.200047
9025.141833,4.250474,4.069702,-0.180772
9129.823526,4.133666,3.97268,-0.160986
9235.719411,4.013877,3.873959,-0.139918
9342.843572,3.892487,3.773809,-0.118677
9451.210254,3.768605,3.672495,-0.09611
9560.833871,3.644025,3.570269,-0.073755
9671.729001,3.518259,3.467369,-0.05089
9783.910392,3.391173,3.364009,-0.027164
9897.392963,3.263996,3.260377,-0.003619
10012.191807,3.137818,3.156629,0.018811
10128.322191,3.012122,3.052887,0.040765
10245.799559,2.887541,2.949235,0.061695
10364.639536,2.763636,2.845719,0.082084
10484.857925,2.640652,2.742344,0.101692
10606.470714,2.517669,2.639076,0.121407
10729.494078,2.395153,2.535842,0.140689
10853.944378,2.273766,2.43253,0.158764
10979.838163,2.153042,2.329,0.175958
11107.192178,2.034252,2.225079,0.190826
11236.023359,1.916175,2.120573,0.204397
11366.348839,1.800034,2.015272,0.215239
11498.185952,1.686187,1.908961,0.222773
11631.552229,1.575981,1.801422,0.225441
11766.465408,1.468754,1.69245,0.223696
11902.943431,1.365779,1.581861,0.216082
12041.004449,1.265876,1.469499,0.203623
12180.666823,1.169519,1.355247,0.185727
12321.949125,1.075919,1.239034,0.163115
12464.870147,0.984743,1.12084,0.136097
12609.448895,0.896129,1.000702,0.104574
12755.704597,0.809708,0.878714,0.069006
12903.656704,0.72346,0.755027,0.031566
13053.324893,0.637832,0.629844,-0.007988
13204.729067,0.551964,0.503419,-0.048544
13357.889363,0.464902,0.376049,-0.088853
13512.826149,0.377646,0.248063,-0.129583
13669.560031,0.289203,0.119814,-0.169389
13828.111853,0.200366,-0.008327,-0.208693
13988.502702,0.111319,-0.135986,-0.247304
14150.753907,0.021076,-0.26279,-0.283866
14314.887048,-0.069964,-0.388377,-0.318414
14480.923952,-0.161997,-0.512404,-0.350407
14648.886701,-0.256225,-0.634551,-0.378326
14818.797632,-0.353025,-0.754524,-0.401499
14990.679343,-0.452836,-0.87206,-0.419224
15164.554693,-0.555607,-0.986929,-0.431322
15340.446804,-0.662982,-1.098932,-0.43595
15518.379071,-0.774321,-1.207902,-0.433581
15698.375155,-0.890245,-1.313705,-0.42346
15880.458995,-1.00998,-1.416235,-0.406255
16064.654808,-1.131735,-1.515413,-0.383678
16250.987088,-1.255685,-1.611185,-0.3555
16439.480618,-1.383391,-1.703519,-0.320128
16630.160464,-1.513647,-1.792404,-0.278756
16823.051987,-1.647729,-1.877844,-0.230116
17018.180838,-1.783844,-1.959861,-0.176017
17215.572969,-1.922154,-2.038485,-0.116331
17415.254631,-2.061109,-2.11376,-0.052651
17617.25238,-2.199918,-2.185736,0.014182
17821.59308,-2.336533,-2.25447,0.082063
18028.303907,-2.470273,-2.320023,0.150249
18237.412352,-2.598428,-2.382461,0.215968
18448.946224,-2.719931,-2.441849,0.278082
18662.933655,-2.833066,-2.498256,0.334809
18879.403105,-2.935563,-2.551749,0.383813
19098.383362,-3.02467,-2.602394,0.422275
19319.903548,-3.101758,-2.650256,0.451502
19543.993124,-3.17543,-2.695396,0.480034
19770.681892,-3.25613,-2.737873,0.518256
20000.0,-3.334392,-2.777743,0.556649
