* Freq(Hz), SPL(dB)
1156.937134,94.42
1165.320801,94.448
1173.765137,94.477
1182.270752,94.507
1190.838013,94.538
1199.467285,94.57
1208.15918,94.603
1216.91394,94.637
1225.732178,94.671
1234.61438,94.707
1243.560913,94.744
1252.572266,94.782
1261.648926,94.821
1270.791382,94.862
1280,94.903
1289.275391,94.946
1298.618042,94.991
1308.02832,95.036
1317.506836,95.084
1327.054077,95.132
1336.67041,95.183
1346.356567,95.234
1356.112793,95.287
1365.939697,95.342
1375.837891,95.398
1385.807739,95.455
1395.849854,95.514
1405.964844,95.574
1416.152954,95.635
1426.415039,95.698
1436.751465,95.761
1447.16272,95.826
1457.649414,95.891
1468.212158,95.957
1478.85144,96.024
1489.567871,96.092
1500.361816,96.16
1511.234131,96.229
1522.185059,96.299
1533.215454,96.369
1544.325806,96.44
1555.516602,96.511
1566.788574,96.583
1578.14209,96.655
1589.578003,96.728
1601.09668,96.801
1612.698975,96.875
1624.385254,96.95
1636.15625,97.025
1648.012451,97.101
1659.95459,97.177
1671.983398,97.254
1684.099243,97.331
1696.302856,97.409
1708.594971,97.488
1720.976196,97.567
1733.447144,97.647
1746.008423,97.728
1758.660645,97.81
1771.404663,97.893
1784.240967,97.976
1797.170288,98.06
1810.193359,98.146
1823.310791,98.232
1836.523193,98.32
1849.831421,98.408
1863.236084,98.497
1876.737793,98.587
1890.337524,98.677
1904.035645,98.768
1917.833008,98.86
1931.730469,98.952
1945.728638,99.045
1959.828125,99.138
1974.029907,99.232
1988.334473,99.326
2002.742798,99.42
2017.255493,99.515
2031.873291,99.609
2046.597168,99.704
2061.427734,99.799
2076.365479,99.894
2091.411865,99.989
2106.566895,100.085
2121.832031,100.181
2137.207764,100.277
2152.694824,100.372
2168.294189,100.468
2184.006592,100.563
2199.832764,100.657
2215.773682,100.75
2231.830078,100.841
2248.002686,100.931
2264.292725,101.018
2280.700684,101.104
2297.227539,101.187
2313.874268,101.269
2330.641602,101.347
2347.530273,101.424
2364.541504,101.498
2381.676025,101.569
2398.93457,101.638
2416.318359,101.705
2433.827881,101.769
2451.464355,101.832
2469.22876,101.893
2487.121826,101.951
2505.144531,102.008
2523.297852,102.064
2541.582764,102.117
2560,102.169
2578.550781,102.22
2597.236084,102.268
2616.056641,102.314
2635.013672,102.358
2654.108154,102.399
2673.34082,102.438
2692.713135,102.475
2712.225586,102.51
2731.879395,102.543
2751.675781,102.575
2771.615479,102.605
2791.699707,102.634
2811.929688,102.661
2832.305908,102.687
2852.830078,102.712
2873.50293,102.735
2894.325439,102.757
2915.298828,102.776
2936.424316,102.794
2957.702881,102.81
2979.135742,102.824
3000.723633,102.836
3022.468262,102.846
3044.370117,102.854
3066.430908,102.861
3088.651611,102.866
3111.033203,102.869
3133.577148,102.87
3156.28418,102.871
3179.156006,102.871
3202.193359,102.869
3225.397949,102.866
3248.770508,102.862
3272.3125,102.856
3296.024902,102.848
3319.90918,102.838
3343.966797,102.825
3368.198486,102.811
3392.605713,102.795
3417.189941,102.777
3441.952393,102.757
3466.894287,102.735
3492.016846,102.711
3517.321289,102.686
3542.809326,102.659
3568.481934,102.63
3594.340576,102.6
3620.386719,102.568
3646.621582,102.535
3673.046387,102.501
3699.662842,102.466
3726.472168,102.431
3753.475586,102.395
3780.675049,102.359
3808.071289,102.323
3835.666016,102.287
3863.460938,102.251
3891.457275,102.214
3919.65625,102.178
3948.059814,102.141
3976.668945,102.103
4005.485596,102.066
4034.510986,102.028
4063.746582,101.99
4093.194336,101.952
4122.855469,101.913
4152.730957,101.875
4182.82373,101.837
4213.133789,101.798
4243.664062,101.76
4274.415527,101.721
4305.389648,101.682
4336.588379,101.644
4368.013184,101.605
4399.665527,101.567
4431.547363,101.528
4463.660156,101.49
4496.005371,101.452
4528.585449,101.414
4561.401367,101.375
4594.455078,101.337
4627.748535,101.299
4661.283203,101.261
4695.060547,101.223
4729.083008,101.185
4763.352051,101.147
4797.869141,101.108
4832.636719,101.07
4867.655762,101.032
4902.928711,100.994
4938.45752,100.956
4974.243652,100.919
5010.289062,100.881
5046.595703,100.845
5083.165527,100.808
5120,100.772
5157.101562,100.737
5194.472168,100.702
5232.113281,100.667
5270.027344,100.632
5308.216309,100.597
5346.681641,100.563
5385.42627,100.529
5424.451172,100.496
5463.758789,100.463
5503.351562,100.43
5543.230957,100.399
5583.399414,100.368
5623.859375,100.338
5664.611816,100.31
5705.660156,100.282
5747.005859,100.255
5788.650879,100.229
5830.597656,100.203
5872.848633,100.178
5915.405762,100.153
5958.271484,100.128
6001.447266,100.103
6044.936523,100.078
6088.740234,100.053
6132.861816,100.028
6177.303223,100.003
6222.066406,99.979
6267.154297,99.956
6312.568359,99.934
6358.312012,99.913
6404.386719,99.892
6450.795898,99.873
6497.541016,99.854
6544.625,99.835
6592.049805,99.817
6639.818359,99.799
6687.933594,99.781
6736.396973,99.764
6785.211426,99.746
6834.379883,99.729
6883.904785,99.711
6933.788574,99.694
6984.033691,99.676
7034.642578,99.659
7085.618652,99.641
7136.963867,99.623
7188.681152,99.605
7240.773438,99.587
7293.243164,99.567
7346.092773,99.548
7399.325684,99.527
7452.944336,99.505
7506.951172,99.482
7561.350098,99.458
7616.142578,99.433
7671.332031,99.406
7726.921875,99.378
7782.914551,99.348
7839.3125,99.316
7896.119629,99.282
7953.337891,99.245
8010.971191,99.206
8069.021973,99.165
8127.493164,99.121
8186.388672,99.075
8245.710938,99.026
8305.461914,98.975
8365.647461,98.922
8426.267578,98.867
8487.328125,98.809
8548.831055,98.75
8610.779297,98.689
8673.176758,98.626
8736.026367,98.561
8799.331055,98.494
8863.094727,98.426
8927.320312,98.356
8992.010742,98.285
9057.170898,98.212
9122.802734,98.139
9188.910156,98.064
9255.49707,97.989
9322.566406,97.913
9390.121094,97.836
9458.166016,97.758
9526.704102,97.68
