frequency,raw
654.01416,93.496
658.753418,93.461
663.527039,93.429
668.335205,93.399
673.178284,93.371
678.056396,93.347
682.969849,93.326
687.918945,93.309
692.90387,93.296
697.924927,93.289
702.982422,93.287
708.076477,93.29
713.20752,93.299
718.375732,93.312
723.58136,93.331
728.824707,93.352
734.106079,93.377
739.42572,93.404
744.783936,93.432
750.180908,93.461
755.617065,93.492
761.092529,93.522
766.607727,93.553
772.162903,93.584
777.758301,93.614
783.394287,93.643
789.071045,93.671
794.789001,93.699
800.54834,93.725
806.349487,93.751
812.192627,93.775
818.078125,93.797
824.006226,93.818
829.977295,93.837
835.991699,93.854
842.049622,93.869
848.151428,93.883
854.297485,93.895
860.488098,93.906
866.723572,93.916
873.004211,93.925
879.330322,93.933
885.702332,93.94
892.120483,93.946
898.585144,93.952
905.09668,93.957
911.655396,93.961
918.261597,93.964
924.91571,93.966
931.618042,93.966
938.368896,93.965
945.168762,93.963
952.017822,93.961
958.916504,93.957
965.865234,93.953
972.864319,93.948
979.914062,93.943
987.014954,93.939
994.167236,93.935
1001.371399,93.932
1008.627747,93.929
1015.936646,93.927
1023.298584,93.927
1030.713867,93.926
1038.182739,93.927
1045.705933,93.928
1053.283447,93.93
1060.916016,93.931
1068.603882,93.932
1076.347412,93.932
1084.147095,93.929
1092.003296,93.925
1099.916382,93.917
1107.886841,93.905
1115.915039,93.889
1124.001343,93.868
1132.146362,93.842
1140.350342,93.811
1148.61377,93.775
1156.937134,93.734
1165.320801,93.689
1173.765137,93.64
1182.270752,93.589
1190.838013,93.536
1199.467285,93.483
1208.15918,93.431
1216.91394,93.382
1225.732178,93.339
1234.61438,93.303
1243.560913,93.276
1252.572266,93.262
1261.648926,93.26
1270.791382,93.272
1280.0,93.298
1289.275391,93.336
1298.618042,93.386
1308.02832,93.445
1317.506836,93.512
1327.054077,93.583
1336.67041,93.658
1346.356567,93.735
1356.112793,93.812
1365.939697,93.889
1375.837891,93.965
1385.807739,94.041
1395.849854,94.115
1405.964844,94.19
1416.152954,94.265
1426.415039,94.34
1436.751465,94.417
1447.16272,94.494
1457.649414,94.573
1468.212158,94.652
1478.85144,94.731
1489.567871,94.809
1500.361816,94.887
1511.234131,94.963
1522.185059,95.038
1533.215454,95.11
1544.325806,95.18
1555.516602,95.247
1566.788574,95.311
1578.14209,95.371
1589.578003,95.429
1601.09668,95.483
1612.698975,95.535
1624.385254,95.583
1636.15625,95.628
1648.012451,95.67
1659.95459,95.707
1671.983398,95.741
1684.099243,95.771
1696.302856,95.797
1708.594971,95.82
1720.976196,95.839
1733.447144,95.856
1746.008423,95.871
1758.660645,95.883
1771.404663,95.895
1784.240967,95.906
1797.170288,95.917
1810.193359,95.928
1823.310791,95.939
1836.523193,95.951
1849.831421,95.962
1863.236084,95.974
1876.737793,95.987
1890.337524,96.001
1904.035645,96.018
1917.833008,96.041
1931.730469,96.07
1945.728638,96.11
1959.828125,96.162
1974.029907,96.228
1988.334473,96.309
2002.742798,96.404
2017.255493,96.513
2031.873291,96.631
2046.597168,96.755
2061.427734,96.882
2076.365479,97.006
2091.411865,97.124
2106.566895,97.235
2121.832031,97.335
2137.207764,97.426
2152.694824,97.507
2168.294189,97.578
2184.006592,97.643
2199.832764,97.7
2215.773682,97.753
2231.830078,97.8
2248.002686,97.845
2264.292725,97.887
2280.700684,97.928
2297.227539,97.969
2313.874268,98.011
2330.641602,98.056
2347.530273,98.103
2364.541504,98.154
2381.676025,98.208
2398.93457,98.266
2416.318359,98.327
2433.827881,98.39
2451.464355,98.456
2469.22876,98.525
2487.121826,98.596
2505.144531,98.671
2523.297852,98.748
2541.582764,98.829
2560.0,98.912
2578.550781,98.997
2597.236084,99.084
2616.056641,99.172
2635.013672,99.261
2654.108154,99.35
2673.34082,99.438
2692.713135,99.526
2712.225586,99.613
2731.879395,99.699
2751.675781,99.784
2771.615479,99.867
2791.699707,99.948
2811.929688,100.026
2832.305908,100.1
2852.830078,100.17
2873.50293,100.234
2894.325439,100.293
2915.298828,100.348
2936.424316,100.399
2957.702881,100.445
2979.135742,100.486
3000.723633,100.52
3022.468262,100.549
3044.370117,100.57
3066.430908,100.585
3088.651611,100.593
3111.033203,100.595
3133.577148,100.592
3156.28418,100.582
3179.156006,100.566
3202.193359,100.543
3225.397949,100.513
3248.770508,100.477
3272.3125,100.435
3296.024902,100.388
3319.90918,100.335
3343.966797,100.278
3368.198486,100.216
3392.605713,100.148
3417.189941,100.076
3441.952393,100.001
3466.894287,99.922
3492.016846,99.841
3517.321289,99.757
3542.809326,99.672
3568.481934,99.585
3594.340576,99.498
3620.386719,99.41
3646.621582,99.322
3673.046387,99.235
3699.662842,99.15
3726.472168,99.066
3753.475586,98.982
3780.675049,98.899
3808.071289,98.818
3835.666016,98.737
3863.460938,98.659
3891.457275,98.582
3919.65625,98.507
3948.059814,98.433
3976.668945,98.362
4005.485596,98.292
4034.510986,98.224
4063.746582,98.159
4093.194336,98.095
4122.855469,98.033
4152.730957,97.972
4182.82373,97.913
4213.133789,97.856
4243.664062,97.802
4274.415527,97.749
4305.389648,97.697
4336.588379,97.647
4368.013184,97.599
4399.665527,97.552
4431.547363,97.507
4463.660156,97.464
4496.005371,97.423
4528.585449,97.382
4561.401367,97.344
4594.455078,97.307
4627.748535,97.273
4661.283203,97.241
4695.060547,97.212
4729.083008,97.184
4763.352051,97.16
4797.869141,97.139
4832.636719,97.122
4867.655762,97.109
4902.928711,97.1
4938.45752,97.097
4974.243652,97.098
5010.289062,97.105
5046.595703,97.117
5083.165527,97.133
5120.0,97.154
5157.101562,97.179
5194.472168,97.209
5232.113281,97.243
5270.027344,97.282
5308.216309,97.325
5346.681641,97.374
5385.42627,97.426
5424.451172,97.482
5463.758789,97.541
5503.351562,97.603
5543.230957,97.667
5583.399414,97.734
5623.859375,97.803
5664.611816,97.875
5705.660156,97.952
5747.005859,98.033
5788.650879,98.12
5830.597656,98.215
5872.848633,98.32
5915.405762,98.437
5958.271484,98.567
6001.447266,98.71
6044.936523,98.866
6088.740234,99.033
6132.861816,99.21
6177.303223,99.392
6222.066406,99.576
6267.154297,99.758
6312.568359,99.932
6358.312012,100.094
6404.386719,100.24
6450.795898,100.364
6497.541016,100.465
6544.625,100.539
6592.049805,100.586
6639.818359,100.605
6687.933594,100.598
6736.396973,100.569
6785.211426,100.52
6834.379883,100.457
6883.904785,100.384
6933.788574,100.307
6984.033691,100.229
7034.642578,100.156
7085.618652,100.092
7136.963867,100.038
7188.681152,99.998
7240.773438,99.972
7293.243164,99.959
7346.092773,99.958
7399.325684,99.967
7452.944336,99.985
7506.951172,100.011
7561.350098,100.042
7616.142578,100.077
7671.332031,100.115
7726.921875,100.151
7782.914551,100.185
7839.3125,100.214
7896.119629,100.235
7953.337891,100.246
8010.971191,100.243
8069.021973,100.224
8127.493164,100.187
8186.388672,100.127
8245.710938,100.043
8305.461914,99.931
8365.647461,99.79
8426.267578,99.619
8487.328125,99.418
8548.831055,99.186
8610.779297,98.927
8673.176758,98.641
8736.026367,98.331
8799.331055,98.001
8863.094727,97.656
8927.320312,97.298
8992.010742,96.933
9057.170898,96.565
9122.802734,96.198
9188.910156,95.835
9255.49707,95.48
9322.566406,95.135
9390.121094,94.801
9458.166016,94.481
9526.704102,94.176
9595.738281,93.887
