* Freq(Hz), SPL(dB)
911.655396,94.547
918.261597,94.518
924.91571,94.488
931.618042,94.456
938.368896,94.423
945.168762,94.389
952.017822,94.356
958.916504,94.322
965.865234,94.29
972.864319,94.258
979.914062,94.227
987.014954,94.198
994.167236,94.17
1001.371399,94.145
1008.627747,94.123
1015.936646,94.104
1023.298584,94.087
1030.713867,94.073
1038.182739,94.061
1045.705933,94.05
1053.283447,94.041
1060.916016,94.032
1068.603882,94.024
1076.347412,94.017
1084.147095,94.01
1092.003296,94.006
1099.916382,94.004
1107.886841,94.005
1115.915039,94.01
1124.001343,94.018
1132.146362,94.029
1140.350342,94.041
1148.61377,94.053
1156.937134,94.062
1165.320801,94.065
1173.765137,94.06
1182.270752,94.042
1190.838013,94.007
1199.467285,93.952
1208.15918,93.878
1216.91394,93.787
1225.732178,93.685
1234.61438,93.583
1243.560913,93.488
1252.572266,93.409
1261.648926,93.349
1270.791382,93.309
1280,93.287
1289.275391,93.281
1298.618042,93.287
1308.02832,93.302
1317.506836,93.323
1327.054077,93.348
1336.67041,93.376
1346.356567,93.405
1356.112793,93.435
1365.939697,93.465
1375.837891,93.495
1385.807739,93.526
1395.849854,93.558
1405.964844,93.59
1416.152954,93.625
1426.415039,93.662
1436.751465,93.703
1447.16272,93.748
1457.649414,93.797
1468.212158,93.852
1478.85144,93.912
1489.567871,93.977
1500.361816,94.048
1511.234131,94.124
1522.185059,94.206
1533.215454,94.293
1544.325806,94.386
1555.516602,94.483
1566.788574,94.586
1578.14209,94.694
1589.578003,94.806
1601.09668,94.922
1612.698975,95.041
1624.385254,95.16
1636.15625,95.279
1648.012451,95.395
1659.95459,95.506
1671.983398,95.609
1684.099243,95.703
1696.302856,95.785
1708.594971,95.854
1720.976196,95.91
1733.447144,95.954
1746.008423,95.986
1758.660645,96.009
1771.404663,96.023
1784.240967,96.032
1797.170288,96.035
1810.193359,96.035
1823.310791,96.033
1836.523193,96.028
1849.831421,96.022
1863.236084,96.016
1876.737793,96.008
1890.337524,96.001
1904.035645,95.995
1917.833008,95.989
1931.730469,95.984
1945.728638,95.98
1959.828125,95.977
1974.029907,95.976
1988.334473,95.977
2002.742798,95.979
2017.255493,95.983
2031.873291,95.989
2046.597168,95.997
2061.427734,96.007
2076.365479,96.021
2091.411865,96.04
2106.566895,96.063
2121.832031,96.093
2137.207764,96.129
2152.694824,96.172
2168.294189,96.22
2184.006592,96.275
2199.832764,96.336
2215.773682,96.405
2231.830078,96.483
2248.002686,96.569
2264.292725,96.663
2280.700684,96.764
2297.227539,96.87
2313.874268,96.979
2330.641602,97.087
2347.530273,97.193
2364.541504,97.295
2381.676025,97.392
2398.93457,97.485
2416.318359,97.573
2433.827881,97.658
2451.464355,97.74
2469.22876,97.819
2487.121826,97.897
2505.144531,97.973
2523.297852,98.049
2541.582764,98.126
2560,98.202
2578.550781,98.279
2597.236084,98.358
2616.056641,98.438
2635.013672,98.52
2654.108154,98.606
2673.34082,98.695
2692.713135,98.79
2712.225586,98.891
2731.879395,99.003
2751.675781,99.126
2771.615479,99.264
2791.699707,99.416
2811.929688,99.58
2832.305908,99.751
2852.830078,99.921
2873.50293,100.079
2894.325439,100.216
2915.298828,100.324
2936.424316,100.4
2957.702881,100.443
2979.135742,100.457
3000.723633,100.448
3022.468262,100.42
3044.370117,100.381
3066.430908,100.335
3088.651611,100.284
3111.033203,100.229
3133.577148,100.171
3156.28418,100.11
3179.156006,100.042
